"Manufacturer","Year","Name","IPDB","OPDB","InCatalog","Type"
"Bally","1989","Elvira and the Party Monsters","782","Grlxp-MVKBW","False","ss"
"Bally","1989","Atlantis","106","GrNlV-MDydr","False","ss"
"Bally","1989","Transporter the Rescue","2630","G5n2D-MLn85","False","ss"
"Bally","1990","Dr. Dude And His Excellent Ray","737","GRVEJ-MDq1w","False","ss"
"Bally","1990","The Bally Game Show","985","G5V92-MJ9XO","False","ss"
"Bally","1990","Radical!","1904","G59ZY-MD8p7","False","ss"
"Bally","1990","Pool Sharks","1848","GR68o-M0o2O","False","ss"
"Bally","1991","Bugs Bunny's Birthday Ball","396","GRozL-MDb46","False","ss"
"Bally","1991","The Party Zone","1764","G5oBw-ML3Kw","False","ss"
"Bally","1991","Harley Davidson","1126","Gr2L0-MDz1W","False","ss"
"Bally","1991","Gilligan's Island","1004","GRBxQ-MnKX7","False","ss"
"Bally","1992","The Addams Family","20","G4ODR-MDXEy","False","ss"
"Bally","1992","Doctor Who","738","G4x2Y-MQwwe","False","ss"
"Bally","1992","Black Rose","313","G5vZd-MQpWZ","False","ss"
"Bally","1992","Creature from the Black Lagoon","588","GrNWn-MQdqZ","False","ss"
"Bally","1993","Judge Dredd","1322","GRoZw-MLW3j","False","ss"
"Bally","1993","Twilight Zone","2684","GrXzD-MjBPX","False","ss"
"Bally","1994","The Addams Family Gold","21","G4ODR-MLzY7","False","ss"
"Bally","1994","Corvette","570","GrjDz-MJKN6","False","ss"
"Bally","1994","World Cup Soccer","2811","G42E2-MQP9e","False","ss"
"Bally","1994","Popeye Saves the Earth","1851","GR0lW-MJPVV","False","ss"
"Bally","1994","Pinball Circus","4354","G4qdD-MrR3Z","False","ss"
"Bally","1994","The Shadow","2528","G4jPX-M85YZ","False","ss"
"Bally","1995","WHO dunnit","3685","G50kj-MDqpv","False","ss"
"Bally","1995","Attack from Mars","3781","G4do5-MDlN7","False","ss"
"Bally","1995","Theatre of Magic","2845","G5BLE-MQ75Y","False","ss"
"Bally","1995","Indianapolis 500","2853","Gr8l3-MDWr0","False","ss"
"Bally","1996","Scared Stiff","3915","G4xbP-Mp45Y","False","ss"
"Bally","1996","Safe Cracker","3782","GRBxq-MJpOP","False","ss"
"Bally","1997","Cirqus Voltaire","4059","GRVjJ-MLq7W","False","ss"
"Bally","1997","NBA Fastbreak","4023","GrO0D-MQolo","False","ss"
"Bally","1998","Cactus Canyon","4445","G4835-Mb5eO","False","ss"
"Bally","1998","Champion Pub","4358","G42k0-MQ6w9","False","ss"
"Bally","1999","Revenge From Mars","4446","G50Wr-MLeZP","False","ss"
"Bandai Namco","2019","Super Panic Ball","","G7Zjz-Mx0jK","False","ss"
"Barrels of Fun","2023","Jim Henson's Labyrinth","","GvBn8-Mz291","False","ss"
"Barrels of Fun","2025","Dune","","Gd266-ME0l7","False","ss"
"Barrels of Fun","2025","Winchester Mystery House","","GvBzO-Mz2r7","False","ss"
"Capcom","1995","Pinball Magic","3596","GrZnn-MJj46","False","ss"
"Capcom","1996","Big Bang Bar","4001","G56vo-MLl1Z","False","ss"
"Capcom","1996","Airborne","3783","G4EZe-MJ424","False","ss"
"Capcom","1996","Breakshot","3784","G43oE-M0ok5","False","ss"
"Capcom","1996","Flipper Football","3945","GRKKk-MLxwP","False","ss"
"Capcom","1996","Kingpin","4000","G48od-MJNnn","False","ss"
"Chicago Gaming","2015","Medieval Madness (Remake Royal Edition)","6264","G5pe4-MkPRV","False","ss"
"Chicago Gaming","2015","Medieval Madness (Remake LE)","","G5pe4-M61y6","False","ss"
"Chicago Gaming","2016","Medieval Madness (Remake)","6263","G5pe4-MyNkp","False","ss"
"Chicago Gaming","2016","Medieval Madness (Remake Special Edition)","","G5pe4-MrR1B","False","ss"
"Chicago Gaming","2017","Attack From Mars (Remake Special)","6384","G4do5-MjBp2","False","ss"
"Chicago Gaming","2017","Attack From Mars (Remake)","","G4do5-MkPnV","False","ss"
"Chicago Gaming","2017","Attack From Mars (Remake LE)","6385","G4do5-MW9z8","False","ss"
"Chicago Gaming","2018","Monster Bash (Remake Special)","6571","Gr3EW-MXryE","False","ss"
"Chicago Gaming","2018","Monster Bash (Remake LE)","6572","Gr3EW-M1r9Y","False","ss"
"Chicago Gaming","2018","Monster Bash (Remake)","6570","Gr3EW-M3dBn","False","ss"
"Chicago Gaming","2021","Cactus Canyon (Remake)","","G4835-M2YPK","False","ss"
"Chicago Gaming","2023","Pulp Fiction","","GoEkx-MdEzN","False","ss"
"Chicago Gaming","2025","Medieval Madness (Remake Merlin Edition)","","G5pe4-MrRrv","False","ss"
"Data East","1987","Laser War","1415","G5one-MQY5V","False","ss"
"Data East","1988","Time Machine","2565","GR99Y-MJ9Zy","False","ss"
"Data East","1988","Torpedo Alley","2603","G48on-ML8B9","False","ss"
"Data East","1988","Secret Service","2090","G4qqv-MDW0P","False","ss"
"Data East","1989","Monday Night Football","1616","G5zZ7-Mp474","False","ss"
"Data East","1989","Playboy 35th Anniversary","1822","GRL60-MLW2q","False","ss"
"Data East","1989","Robocop","1976","Grlxe-MJ916","False","ss"
"Data East","1990","The Simpsons","2158","G5VBJ-MLy4l","False","ss"
"Data East","1990","Phantom of the Opera","1777","Grq1D-MQokp","False","ss"
"Data East","1990","King Kong","3194","G5BNq-MDB4d","False","ss"
"Data East","1990","Back to the Future","126","GRpbW-MLXq2","False","ss"
"Data East","1991","Batman","195","GrOpb-MQ7w1","False","ss"
"Data East","1991","Star Trek","2356","G42qQ-MLn3y","False","ss"
"Data East","1991","Checkpoint","498","G4Jdp-MJNrr","False","ss"
"Data East","1991","Teenage Mutant Ninja Turtles","2509","Gr8xn-MKN66","True","ss"
"Data East","1992","Michael Jordan","3425","G57EJ-MLWB9","False","ss"
"Data East","1992","Star Wars","2358","G420r-MLedz","True","ss"
"Data East","1992","Lethal Weapon 3","1433","GRokL-MQP78","False","ss"
"Data East","1992","Hook","1233","G42EQ-MJYpj","False","ss"
"Data East","1993","Last Action Hero","1416","GRwyq-MW9lN","False","ss"
"Data East","1993","Tales from the Crypt","2493","GR6wO-MDvzk","False","ss"
"Data East","1993","Adventures of Rocky and Bullwinkle and Friends","23","G5vnL-MJP3y","False","ss"
"Data East","1993","Jurassic Park","1343","G4ZVB-MJ5lE","True","ss"
"Data East","1994","Maverick","1561","GrN9V-ML8nw","False","ss"
"Data East","1994","The Who's Tommy Pinball Wizard","2579","GR6do-MLBq4","False","ss"
"Data East","1994","WWF Royal Rumble","2820","G57y6-MLej6","False","ss"
"Data East","1994","Guns N' Roses","1100","GrPKV-MyNoP","False","ss"
"deeproot","2019","Retro Atomic Zombie Adventureland","","Ge1L8-Mb52x","False","ss"
"Dutch Pinball","2014","Bride of Pinbot 2.0","6319","GRpee-MJkyr","False","ss"
"Dutch Pinball","2015","The Big Lebowski","6320","G5WBr-MvB3E","False","ss"
"Dutch Pinball","2025","Alice's Adventures in Wonderland","","GX2vL-MW9en","False","ss"
"Game Plan","1978","Rio","3523","GrJy1-MDEbO","False","ss"
"Game Plan","1978","Black Velvet","315","GRw0Z-Ml9Eb","False","ss"
"Game Plan","1979","Old Coney Island!","553","G4qjj-MZeyb","False","ss"
"Game Plan","1979","Star Trip","3605","GRoW6-ME0Ro","False","ss"
"Game Plan","1979","Family Fun!","817","GRoW6-MQk81","False","ss"
"Game Plan","1979","Vegas","2725","GrEXp-MJjn3","False","ss"
"Game Plan","1979","Sharpshooter","2113","Gr37O-MePr0","False","ss"
"Game Plan","1980","Pinball Lizard","1464","GR9ko-MLzrW","False","ss"
"Game Plan","1981","Global Warfare","1015","G436N-MQw3K","False","ss"
"Game Plan","1982","Super Nova","2436","G56KW-MKNNj","False","ss"
"Game Plan","1983","Sharp Shooter II","2114","Gr8KB-MLqYW","False","ss"
"Game Plan","1984","Agents 777","26","Grkpd-MQrjj","False","ss"
"Game Plan","1984","Attila the Hun","109","GrZxD-MLO4Y","False","ss"
"Game Plan","1985","Cyclopes","619","GRwZ7-MJ7vy","False","ss"
"Game Plan","1985","Captain Hook","434","G4jeW-MDb93","False","ss"
"Game Plan","1985","Andromeda","73","GrXOZ-MLyb0","False","ss"
"Game Plan","1985","Lady Sharpshooter","1407","G48NN-MLqOw","False","ss"
"Gottlieb","1976","Canada Dry","426","GrEZ5-ME0Ko","False","ss"
"Gottlieb","1977","Lucky Card","1485","GrPpb-MLEk7","False","ss"
"Gottlieb","1977","Cleopatra","532","GrknN-MQrdv","False","ss"
"Gottlieb","1978","Charlie’s Angels","492","G5Woz-MKNq6","False","ss"
"Gottlieb","1978","Close Encounters of the Third Kind","536","G4qvL-MJwVr","False","ss"
"Gottlieb","1978","Rock Star","1983","GRbD8-MLWx0","False","ss"
"Gottlieb","1978","Joker Poker","1306","GR9o1-MQjj8","False","ss"
"Gottlieb","1978","Sinbad","2159","G4xqN-MD1Rj","False","ss"
"Gottlieb","1978","Dragon","729","G4qPZ-ME0Nr","False","ss"
"Gottlieb","1979","Totem","2607","G5YDN-MJKYo","False","ss"
"Gottlieb","1979","The Incredible Hulk","1266","GRQW7-MLW5P","False","ss"
"Gottlieb","1979","Genie","997","GRBKZ-ML8Oe","False","ss"
"Gottlieb","1979","Pinball Pool","1795","G4kdB-MLqe3","False","ss"
"Gottlieb","1979","Solar Ride","2239","GRDqo-MDbPx","False","ss"
"Gottlieb","1979","Count-Down","573","G56zB-MLv9k","False","ss"
"Gottlieb","1980","James Bond 007","1286","G4PXJ-MQPlw","True","ss"
"Gottlieb","1980","Star Race","2353","G5VxP-MLWlV","False","ss"
"Gottlieb","1980","Asteroid Annie and the Aliens","98","G59bo-MJPxj","False","ss"
"Gottlieb","1980","Time Line","2564","Gr13q-MXrjY","False","ss"
"Gottlieb","1980","Buck Rogers","392","GRKx7-MJ49e","False","ss"
"Gottlieb","1980","Counterforce","575","GRYPN-Mz2RE","False","ss"
"Gottlieb","1980","Roller Disco","2005","G48qn-MDEl1","False","ss"
"Gottlieb","1980","Torch","2595","G4JbV-M5Rqn","False","ss"
"Gottlieb","1980","The Amazing Spider-Man","2285","GrXlr-MOEE2","False","ss"
"Gottlieb","1980","Circus","515","G4xXK-Mx01N","False","ss"
"Gottlieb","1980","Panthera","1745","G5bQq-MQ4ob","False","ss"
"Gottlieb","1981","Black Hole","307","G41yq-MQP65","False","ss"
"Gottlieb","1981","Volcano","2742","GrEzp-MDbW3","False","ss"
"Gottlieb","1981","Force II","916","G5Wpk-MDWpy","False","ss"
"Gottlieb","1981","Mars God of War","1549","GrNpY-MJrZw","False","ss"
"Gottlieb","1981","Pink Panther","1800","Gre72-MDE5e","False","ss"
"Gottlieb","1982","Eclipse","756","G4ddn-MLX3E","False","ss"
"Gottlieb","1982","Spirit","2292","Grl9W-MLvOj","False","ss"
"Gottlieb","1982","Striker","2405","G5YEE-MDEVO","False","ss"
"Gottlieb","1982","Punk!","1877","GrEwE-MkP0d","False","ss"
"Gottlieb","1982","Rocky","1993","GrJvk-MDekx","False","ss"
"Gottlieb","1982","Caveman","475","GR768-MLErr","False","ss"
"Gottlieb","1982","Haunted House","1133","G5BP6-MJK4Z","False","ss"
"Gottlieb","1982","Devil's Dare","673","GrNkY-MDbn2","False","ss"
"Gottlieb","1983","Rack 'Em Up","1902","G4ywq-MLqxN","False","ss"
"Gottlieb","1983","Ready...Aim...Fire!","1924","GRL2z-MQkqe","False","ss"
"Gottlieb","1983","Amazon Hunt","66","GrJkp-M1rBN","False","ss"
"Gottlieb","1983","Goin' Nuts","1021","GnPPP-M7ZBR","False","ss"
"Gottlieb","1983","Krull","1397","GV881-MBRNV","False","ss"
"Gottlieb","1983","Q*Bert's Quest","1885","Gr1qn-MYerP","False","ss"
"Gottlieb","1983","Super Orbit","2437","G4EPE-ML14r","False","ss"
"Gottlieb","1983","Royal Flush Deluxe","2036","GRwlz-MQYZN","False","ss"
"Gottlieb","1984","Touchdown","2610","G4ldW-MQPNv","False","ss"
"Gottlieb","1984","The Games","3391","GR9NZ-Ml99O","False","ss"
"Gottlieb","1984","El Dorado City of Gold","767","GrEZ5-MQ2jo","False","ss"
"Gottlieb","1984","Jacks to Open","1282","GrPpb-MDyOy","False","ss"
"Gottlieb","1984","Alien Star","49","G4xwQ-MQpVO","False","ss"
"Gottlieb","1985","Rock","1978","Grk62-MD1qe","False","ss"
"Gottlieb","1985","Tag-Team Pinball","2489","G5Yyo-ML3Wo","False","ss"
"Gottlieb","1985","Ice Fever","1260","G43DV-MQYKB","False","ss"
"Gottlieb","1985","Chicago Cubs 'Triple Play'","502","G5nZJ-MLxrp","False","ss"
"Gottlieb","1985","Bounty Hunter","361","G5nO8-ME0Wo","False","ss"
"Gottlieb","1986","Gold Wings","1043","G5WXd-MJrER","False","ss"
"Gottlieb","1986","Genesis","996","Gr2wz-MLBob","False","ss"
"Gottlieb","1986","Raven","1922","GrJWP-MJ7N1","False","ss"
"Gottlieb","1986","Rock Encore","1979","Grk62-MLeWx","False","ss"
"Gottlieb","1986","Hollywood Heat","1219","G5B9Z-MLBjW","False","ss"
"Gottlieb","1987","Spring Break","2324","GRLKd-Mp46p","False","ss"
"Gottlieb","1987","Monte Carlo","1622","G578Y-MJNzE","False","ss"
"Gottlieb","1987","Amazon Hunt II","3975","GrJkp-MQ21p","False","ss"
"Gottlieb","1987","Arena","82","G4EKb-MDx4p","False","ss"
"Gottlieb","1987","Victory","2733","GrdBk-Mq18w","False","ss"
"Gottlieb","1988","Excalibur","795","GrPbb-MJZX6","False","ss"
"Gottlieb","1988","Bad Girls","128","G5WOo-MePp0","False","ss"
"Gottlieb","1988","Robo-War","1975","GryK3-MQrWk","False","ss"
"Gottlieb","1988","Diamond Lady","678","G4jXW-MQdrN","False","ss"
"Gottlieb","1988","TX-Sector","2699","GRLzj-MJPYK","False","ss"
"Gottlieb","1989","Lights...Camera...Action!","1445","GrlZe-MQY0Y","False","ss"
"Gottlieb","1989","Hot Shots","1248","GrEVz-MOEzv","False","ss"
"Gottlieb","1989","Bone Busters Inc.","347","G5Lk0-MQjl3","False","ss"
"Gottlieb","1989","Big House","256","GR07v-MDRlz","False","ss"
"Gottlieb","1990","Title Fight","2573","G4Xw9-MQ7K4","False","ss"
"Gottlieb","1990","Deadly Weapon","645","Grj9q-MQ2EZ","False","ss"
"Gottlieb","1990","Silver Slugger","2152","Gr8jd-MLyxK","False","ss"
"Gottlieb","1990","Vegas","2724","GrqVL-MDyKe","False","ss"
"Gottlieb","1991","Surf 'n Safari","2461","G5W0z-MLW6N","False","ss"
"Gottlieb","1991","Car Hop","3676","Grd6d-MLR8W","False","ss"
"Gottlieb","1991","Amazon Hunt III","4432","G5Lk0-MDeVZ","False","ss"
"Gottlieb","1991","Cactus Jack's","416","G5bxy-ML30z","False","ss"
"Gottlieb","1991","Class of 1812","528","G5DYX-M0oVW","False","ss"
"Gottlieb","1991","Hoops","1235","G4j2z-MDb0Z","False","ss"
"Gottlieb","1992","Cue Ball Wizard","610","G5vPd-MJp7z","False","ss"
"Gottlieb","1992","Operation: Thunder","1721","Gr3Lq-MJZo5","False","ss"
"Gottlieb","1992","Super Mario Bros.","2435","GRBzQ-MLO1j","False","ss"
"Gottlieb","1992","Super Mario Bros. Mushroom World","3427","G7Zp0-MVKEX","False","ss"
"Gottlieb","1993","Wipe Out","2799","G5w3q-MQYr0","False","ss"
"Gottlieb","1993","Gladiators","1011","G4P9q-MLnOY","False","ss"
"Gottlieb","1993","Street Fighter II","2403","G5BYQ-MQdBV","False","ss"
"Gottlieb","1993","Tee'd Off","2508","G4yzj-ML0P4","False","ss"
"Gottlieb","1994","Freddy: A Nightmare On Elm Street","948","GRzB7-MD8ld","False","ss"
"Gottlieb","1994","World Challenge Soccer","2808","GreOx-MQNv1","False","ss"
"Gottlieb","1994","Rescue 911","1951","G5pNW-MVK46","False","ss"
"Gottlieb","1995","Waterworld","3793","G4JK7-MDBe6","False","ss"
"Gottlieb","1995","Mario Andretti","3794","GRBqq-Mp4ZY","False","ss"
"Gottlieb","1995","Shaq Attaq","2874","G4PoV-MQr5e","False","ss"
"Gottlieb","1995","Stargate","2847","G50pv-MdE6R","False","ss"
"Gottlieb","1995","Frank Thomas' Big Hurt","3591","G4kzN-MQpYx","False","ss"
"Gottlieb","1996","Barb Wire","3795","GRwyv-MQNwr","False","ss"
"Haggis Pinball","2020","Celts","6824","G9zzB-MvBKz","False","ss"
"Haggis Pinball","2022","Fathom (Mermaid)","","GrPO3-M7Zkd","False","ss"
"Hankin","1978","FJ","3627","GrlEV-ML872","False","ss"
"Hankin","1980","Shark","3339","Grjww-Mx0VR","False","ss"
"Hankin","1980","Dennis Lillee's Howzat!","3909","GRzz6-MJN6K","False","ss"
"Hankin","1980","The Empire Strikes Back","2868","GRVqP-MQrOr","False","ss"
"Hankin","1981","Orbit 1","3287","G50jJ-ML09x","False","ss"
"Heighway Pinball","2015","Full Throttle","6301","G5V8q-MQYZ6","False","ss"
"Heighway Pinball","2016","Alien (Pro)","6419","G4PBO-MLbr3","False","ss"
"Heighway Pinball","2017","Alien (LE)","","G4PBO-MYep0","False","ss"
"Inder","1979","Topaz","4477","G5n1e-MQjlv","False","ss"
"Inder","1979","Centaur","4478","G5bE7-MQdXd","False","ss"
"Inder","1980","Skateboard","4479","Grewp-MDEOP","False","ss"
"Inder","1985","Brave Team","4480","G5vxV-MDlzX","False","ss"
"Inder","1986","Canasta 86","4097","GrEpb-MQ2By","False","ss"
"Inder","1986","Lap By Lap","4098","G4exx-MXrkn","False","ss"
"Inder","1987","Moon Light","4416","Gr3ZV-MKN56","False","ss"
"Inder","1988","Clown","4093","G9zz0-MP3VK","False","ss"
"Inder","1989","Corsario","4090","G5LYj-MdE7E","False","ss"
"Inder","1990","Mundial 90","4094","Gr3yE-MQKZk","False","ss"
"Inder","1990","Flip-VI","4096","Gr3yE-MLb3K","False","ss"
"Inder","1991","Atleta","4095","GRn9J-MDOeO","False","ss"
"Inder","1992","Metal Man","4092","G4x3Y-MDznw","False","ss"
"Inder","1992","250 cc","4089","Gr22Q-MQkbn","False","ss"
"Inder","1993","Bushido","4481","GrkVZ-MLnkl","False","ss"
"Innovative Concepts (ICE)","1994","The Flintstones","5136","G6lWl-M7Zrd","False","ss"
"Jersey Jack Pinball","2013","The Wizard of Oz","5800","G4xyR-MJ2v0","False","ss"
"Jersey Jack Pinball","2015","The Hobbit","6222","G5bYr-MLezO","False","ss"
"Jersey Jack Pinball","2017","Dialed In!","6350","G4X2l-MYepl","False","ss"
"Jersey Jack Pinball","2018","Pirates of the Caribbean","6492","GRbPY-MePOP","False","ss"
"Jersey Jack Pinball","2018","Pirates of the Caribbean (CE)","6494","GRbPY-MBR24","False","ss"
"Jersey Jack Pinball","2019","Willy Wonka & The Chocolate Factory (LE)","6648","GYWBZ-MW9B0","False","ss"
"Jersey Jack Pinball","2019","Willy Wonka & The Chocolate Factory","6647","GYWBZ-MkPrr","False","ss"
"Jersey Jack Pinball","2020","Guns N' Roses (LE)","6765","GqZZ1-M85y9","False","ss"
"Jersey Jack Pinball","2020","Guns N' Roses","6764","GqZZ1-M1r5Y","False","ss"
"Jersey Jack Pinball","2020","Guns N' Roses (CE)","6766","GqZZ1-MZeoE","False","ss"
"Jersey Jack Pinball","2022","Toy Story 4","","GJ2o0-MrRye","False","ss"
"Jersey Jack Pinball","2023","The Godfather","","Gd2ox-MW9qj","False","ss"
"Jersey Jack Pinball","2023","Elton John","","G2LWd-M4o3Y","False","ss"
"Jersey Jack Pinball","2024","Avatar: The Battle for Pandora","","GbPxB-MkPol","False","ss"
"Jersey Jack Pinball","2025","Harry Potter","","GWyBj-MdEbK","False","ss"
"Jeutel","1982","Valkyrie","3929","GrOkd-Ml9OE","False","ss"
"Jeutel","1983","Le King","4554","Grqn7-MLE0K","False","ss"
"Jeutel","1984","Olympic Games","3931","GreWJ-MLb7N","False","ss"
"Jeutel","1984","Papillon","3934","GR6VW-MBRwz","False","ss"
"Jeutel","1985","Apocalypse Now","3932","G4Zyj-MQK1O","False","ss"
"Jeutel","1986","Evolution","3933","G4dLk-MYe1k","False","ss"
"Juegos Populares","1984","Petaco","4883","GyVV1-M9Rlp","False","ss"
"Juegos Populares","1985","Faeton","3087","GrPp3-Mx08N","False","ss"
"Juegos Populares","1986","Aqualand","3935","GRQVw-Mx06k","False","ss"
"Juegos Populares","1986","Halley Comet","3936","GR7DY-MQVzp","False","ss"
"Juegos Populares","1986","America 1492","5013","G5pjV-MwNNj","False","ss"
